"subject_uri","target_uri","field","birthYear"
"http://dbpedia.org/resource/Zhu_Zaiyu","http://dbpedia.org/resource/Choreographer","Choreographer",1536
"http://dbpedia.org/resource/Zhu_Zaiyu","http://dbpedia.org/resource/Physicist","Physicist",1536
"http://dbpedia.org/resource/Christopher_Clavius","http://dbpedia.org/resource/Mathematician","Mathematician",1538
"http://dbpedia.org/resource/Christopher_Clavius","http://dbpedia.org/resource/Astronomer","Astronomer",1538
"http://dbpedia.org/resource/Ludolph_van_Ceulen","http://dbpedia.org/resource/Mathematics","Mathematics",1540
"http://dbpedia.org/resource/François_Viète","http://dbpedia.org/resource/Mathematics","Mathematics",1540
"http://dbpedia.org/resource/François_Viète","http://dbpedia.org/resource/Trigonometry","Trigonometry",1540
"http://dbpedia.org/resource/François_Viète","http://dbpedia.org/resource/Astronomy","Astronomy",1540
"http://dbpedia.org/resource/Ostilio_Ricci","http://dbpedia.org/resource/Mathematician","Mathematician",1540
"http://dbpedia.org/resource/Tycho_Brahe","http://dbpedia.org/resource/Astronomer","Astronomer",1546
"http://dbpedia.org/resource/Simon_Stevin","http://dbpedia.org/resource/Mathematician","Mathematician",1548
"http://dbpedia.org/resource/Simon_Stevin","http://dbpedia.org/resource/Music_theorist","Music theorist",1548
"http://dbpedia.org/resource/John_Napier","http://dbpedia.org/resource/Mathematician","Mathematician",1550
"http://dbpedia.org/resource/Petrus_Plancius","http://dbpedia.org/resource/Cartography","Cartography",1552
"http://dbpedia.org/resource/Petrus_Plancius","http://dbpedia.org/resource/Theology","Theology",1552
"http://dbpedia.org/resource/Simon_Forman","http://dbpedia.org/resource/Alchemist","Alchemist",1552
"http://dbpedia.org/resource/Simon_Forman","http://dbpedia.org/resource/Medical_practitioner","Medical practitioner",1552
"http://dbpedia.org/resource/Simon_Forman","http://dbpedia.org/resource/Astrologer","Astrologer",1552
"http://dbpedia.org/resource/Jost_Bürgi","http://dbpedia.org/resource/Mathematician","Mathematician",1552
"http://dbpedia.org/resource/Petrus_Ryff","http://dbpedia.org/resource/Mathematics","Mathematics",1552
"http://dbpedia.org/resource/Petrus_Ryff","http://dbpedia.org/resource/Astronomy","Astronomy",1552
"http://dbpedia.org/resource/Petrus_Ryff","http://dbpedia.org/resource/Medicine","Medicine",1552
"http://dbpedia.org/resource/Robert_Hues","http://dbpedia.org/resource/Mathematics","Mathematics",1553
"http://dbpedia.org/resource/Robert_Hues","http://dbpedia.org/resource/Geography","Geography",1553
"http://dbpedia.org/resource/Henry_Briggs_(mathematician)","http://dbpedia.org/resource/Mathematician","Mathematician",1561
"http://dbpedia.org/resource/Henry_Briggs_(mathematician)","http://dbpedia.org/resource/Astronomer","Astronomer",1561
"http://dbpedia.org/resource/Christen_Sørensen_Longomontanus","http://dbpedia.org/resource/Astronomy","Astronomy",1562
"http://dbpedia.org/resource/Galileo_Galilei","http://dbpedia.org/resource/Mathematics","Mathematics",1564
