,relation,periode,effectif
733,New Zealand-United Kingdom,1901-1950,2
734,New Zealand-United Kingdom,1951-2000,1
735,New Zealand-United States of America,1451-1800,0
736,New Zealand-United States of America,1801-1850,0
737,New Zealand-United States of America,1851-1900,0
738,New Zealand-United States of America,1901-1950,1
739,New Zealand-United States of America,1951-2000,4
740,Norway-Canada,1451-1800,0
741,Norway-Canada,1801-1850,0
742,Norway-Canada,1851-1900,0
743,Norway-Canada,1901-1950,1
744,Norway-Canada,1951-2000,0
745,Norway-Norway,1451-1800,0
746,Norway-Norway,1801-1850,0
747,Norway-Norway,1851-1900,0
748,Norway-Norway,1901-1950,1
749,Norway-Norway,1951-2000,1
750,Pakistan-Italy,1451-1800,0
751,Pakistan-Italy,1801-1850,0
752,Pakistan-Italy,1851-1900,0
753,Pakistan-Italy,1901-1950,1
754,Pakistan-Italy,1951-2000,0
755,Pakistan-Pakistan,1451-1800,0
756,Pakistan-Pakistan,1801-1850,0
757,Pakistan-Pakistan,1851-1900,0
758,Pakistan-Pakistan,1901-1950,5
759,Pakistan-Pakistan,1951-2000,1
760,Pakistan-United Kingdom,1451-1800,0
761,Pakistan-United Kingdom,1801-1850,0
762,Pakistan-United Kingdom,1851-1900,0
763,Pakistan-United Kingdom,1901-1950,4
764,Pakistan-United Kingdom,1951-2000,1
765,Pakistan-United States of America,1451-1800,0
766,Pakistan-United States of America,1801-1850,0
767,Pakistan-United States of America,1851-1900,0
768,Pakistan-United States of America,1901-1950,3
769,Pakistan-United States of America,1951-2000,0
770,Palestine-France,1451-1800,0
771,Palestine-France,1801-1850,0
772,Palestine-France,1851-1900,0
773,Palestine-France,1901-1950,1
774,Palestine-France,1951-2000,0
775,Palestine-Germany,1451-1800,0
776,Palestine-Germany,1801-1850,0
777,Palestine-Germany,1851-1900,1
778,Palestine-Germany,1901-1950,0
779,Palestine-Germany,1951-2000,0
780,Palestine-Israel,1451-1800,0
781,Palestine-Israel,1801-1850,0
782,Palestine-Israel,1851-1900,0
783,Palestine-Israel,1901-1950,1
784,Palestine-Israel,1951-2000,2
785,Palestine-Palestine,1451-1800,0
786,Palestine-Palestine,1801-1850,0
787,Palestine-Palestine,1851-1900,0
788,Palestine-Palestine,1901-1950,1
789,Palestine-Palestine,1951-2000,1
790,Palestine-Russia,1451-1800,0
791,Palestine-Russia,1801-1850,0
792,Palestine-Russia,1851-1900,0
793,Palestine-Russia,1901-1950,1
794,Palestine-Russia,1951-2000,0
795,Palestine-United Kingdom,1451-1800,0
796,Palestine-United Kingdom,1801-1850,0
797,Palestine-United Kingdom,1851-1900,0
798,Palestine-United Kingdom,1901-1950,1
799,Palestine-United Kingdom,1951-2000,3
800,Palestine-United States of America,1451-1800,0
801,Palestine-United States of America,1801-1850,0
802,Palestine-United States of America,1851-1900,0
803,Palestine-United States of America,1901-1950,8
804,Palestine-United States of America,1951-2000,4
805,Peru-Peru,1451-1800,0
806,Peru-Peru,1801-1850,0
807,Peru-Peru,1851-1900,1
808,Peru-Peru,1901-1950,0
809,Peru-Peru,1951-2000,0
810,Poland-Austria,1451-1800,1
811,Poland-Austria,1801-1850,1
812,Poland-Austria,1851-1900,0
813,Poland-Austria,1901-1950,0
814,Poland-Austria,1951-2000,0
815,Poland-Netherlands,1451-1800,0
816,Poland-Netherlands,1801-1850,0
817,Poland-Netherlands,1851-1900,0
818,Poland-Netherlands,1901-1950,1
819,Poland-Netherlands,1951-2000,0
820,Poland-Poland,1451-1800,0
821,Poland-Poland,1801-1850,0
822,Poland-Poland,1851-1900,1
823,Poland-Poland,1901-1950,6
824,Poland-Poland,1951-2000,0
825,Poland-Switzerland,1451-1800,0
826,Poland-Switzerland,1801-1850,0
827,Poland-Switzerland,1851-1900,0
828,Poland-Switzerland,1901-1950,1
829,Poland-Switzerland,1951-2000,0
830,Poland-United States of America,1451-1800,0
831,Poland-United States of America,1801-1850,0
832,Poland-United States of America,1851-1900,1
833,Poland-United States of America,1901-1950,0
834,Poland-United States of America,1951-2000,0
835,Portugal-United States of America,1451-1800,0
836,Portugal-United States of America,1801-1850,0
837,Portugal-United States of America,1851-1900,0
838,Portugal-United States of America,1901-1950,0
839,Portugal-United States of America,1951-2000,3
840,Puerto Rico-United States of America,1451-1800,0
841,Puerto Rico-United States of America,1801-1850,0
842,Puerto Rico-United States of America,1851-1900,0
843,Puerto Rico-United States of America,1901-1950,3
844,Puerto Rico-United States of America,1951-2000,1
845,Romania-Austria,1451-1800,0
846,Romania-Austria,1801-1850,0
847,Romania-Austria,1851-1900,0
848,Romania-Austria,1901-1950,1
849,Romania-Austria,1951-2000,0
850,Romania-France,1451-1800,0
851,Romania-France,1801-1850,0
852,Romania-France,1851-1900,0
853,Romania-France,1901-1950,4
854,Romania-France,1951-2000,0
855,Romania-Germany,1451-1800,0
856,Romania-Germany,1801-1850,0
857,Romania-Germany,1851-1900,0
858,Romania-Germany,1901-1950,3
859,Romania-Germany,1951-2000,0
860,Romania-Italy,1451-1800,0
861,Romania-Italy,1801-1850,0
862,Romania-Italy,1851-1900,2
863,Romania-Italy,1901-1950,1
864,Romania-Italy,1951-2000,0
865,Romania-Romania,1451-1800,0
866,Romania-Romania,1801-1850,0
867,Romania-Romania,1851-1900,4
868,Romania-Romania,1901-1950,10
869,Romania-Romania,1951-2000,1
870,Romania-United Kingdom,1451-1800,0
871,Romania-United Kingdom,1801-1850,0
872,Romania-United Kingdom,1851-1900,0
873,Romania-United Kingdom,1901-1950,1
874,Romania-United Kingdom,1951-2000,0
875,Romania-United States of America,1451-1800,0
876,Romania-United States of America,1801-1850,0
877,Romania-United States of America,1851-1900,0
878,Romania-United States of America,1901-1950,7
879,Romania-United States of America,1951-2000,4
880,Russia-Armenia,1451-1800,0
881,Russia-Armenia,1801-1850,0
882,Russia-Armenia,1851-1900,0
883,Russia-Armenia,1901-1950,4
884,Russia-Armenia,1951-2000,0
885,Russia-Austria,1451-1800,0
886,Russia-Austria,1801-1850,0
887,Russia-Austria,1851-1900,1
888,Russia-Austria,1901-1950,0
889,Russia-Austria,1951-2000,0
890,Russia-Belgium,1451-1800,0
891,Russia-Belgium,1801-1850,0
892,Russia-Belgium,1851-1900,0
893,Russia-Belgium,1901-1950,0
894,Russia-Belgium,1951-2000,1
895,Russia-Brazil,1451-1800,0
896,Russia-Brazil,1801-1850,0
897,Russia-Brazil,1851-1900,0
898,Russia-Brazil,1901-1950,0
899,Russia-Brazil,1951-2000,1
900,Russia-Canada,1451-1800,0
901,Russia-Canada,1801-1850,0
902,Russia-Canada,1851-1900,0
903,Russia-Canada,1901-1950,1
904,Russia-Canada,1951-2000,0
905,Russia-China,1451-1800,0
906,Russia-China,1801-1850,0
907,Russia-China,1851-1900,0
908,Russia-China,1901-1950,2
909,Russia-China,1951-2000,0
910,Russia-Estonia,1451-1800,0
911,Russia-Estonia,1801-1850,0
912,Russia-Estonia,1851-1900,1
913,Russia-Estonia,1901-1950,0
914,Russia-Estonia,1951-2000,0
915,Russia-Germany,1451-1800,0
916,Russia-Germany,1801-1850,0
917,Russia-Germany,1851-1900,0
918,Russia-Germany,1901-1950,0
919,Russia-Germany,1951-2000,1
920,Russia-Israel,1451-1800,0
921,Russia-Israel,1801-1850,0
922,Russia-Israel,1851-1900,0
923,Russia-Israel,1901-1950,1
924,Russia-Israel,1951-2000,3
925,Russia-Russia,1451-1800,0
926,Russia-Russia,1801-1850,0
927,Russia-Russia,1851-1900,6
928,Russia-Russia,1901-1950,24
929,Russia-Russia,1951-2000,8
930,Russia-Ukraine,1451-1800,0
931,Russia-Ukraine,1801-1850,0
932,Russia-Ukraine,1851-1900,0
933,Russia-Ukraine,1901-1950,2
934,Russia-Ukraine,1951-2000,0
935,Russia-United Kingdom,1451-1800,0
936,Russia-United Kingdom,1801-1850,0
937,Russia-United Kingdom,1851-1900,0
938,Russia-United Kingdom,1901-1950,0
939,Russia-United Kingdom,1951-2000,5
940,Russia-United States of America,1451-1800,0
941,Russia-United States of America,1801-1850,0
942,Russia-United States of America,1851-1900,4
943,Russia-United States of America,1901-1950,4
944,Russia-United States of America,1951-2000,11
945,Russia-Uzbekistan,1451-1800,0
946,Russia-Uzbekistan,1801-1850,0
947,Russia-Uzbekistan,1851-1900,0
948,Russia-Uzbekistan,1901-1950,1
949,Russia-Uzbekistan,1951-2000,0
950,Saudi Arabia-Pakistan,1451-1800,0
951,Saudi Arabia-Pakistan,1801-1850,0
952,Saudi Arabia-Pakistan,1851-1900,0
953,Saudi Arabia-Pakistan,1901-1950,3
954,Saudi Arabia-Pakistan,1951-2000,0
955,Saudi Arabia-United Kingdom,1451-1800,0
956,Saudi Arabia-United Kingdom,1801-1850,0
957,Saudi Arabia-United Kingdom,1851-1900,0
958,Saudi Arabia-United Kingdom,1901-1950,1
959,Saudi Arabia-United Kingdom,1951-2000,0
960,Saudi Arabia-United States of America,1451-1800,0
961,Saudi Arabia-United States of America,1801-1850,0
962,Saudi Arabia-United States of America,1851-1900,0
963,Saudi Arabia-United States of America,1901-1950,4
964,Saudi Arabia-United States of America,1951-2000,0
965,Serbia-Serbia,1451-1800,0
966,Serbia-Serbia,1801-1850,0
967,Serbia-Serbia,1851-1900,0
968,Serbia-Serbia,1901-1950,4
969,Serbia-Serbia,1951-2000,0
970,South Africa-South Africa,1451-1800,0
971,South Africa-South Africa,1801-1850,0
972,South Africa-South Africa,1851-1900,0
973,South Africa-South Africa,1901-1950,2
974,South Africa-South Africa,1951-2000,0
975,South Africa-United Kingdom,1451-1800,0
976,South Africa-United Kingdom,1801-1850,0
977,South Africa-United Kingdom,1851-1900,0
978,South Africa-United Kingdom,1901-1950,1
979,South Africa-United Kingdom,1951-2000,0
980,South Africa-United States of America,1451-1800,0
981,South Africa-United States of America,1801-1850,0
982,South Africa-United States of America,1851-1900,0
983,South Africa-United States of America,1901-1950,2
984,South Africa-United States of America,1951-2000,0
985,Spain-Argentina,1451-1800,0
986,Spain-Argentina,1801-1850,0
987,Spain-Argentina,1851-1900,2
988,Spain-Argentina,1901-1950,0
989,Spain-Argentina,1951-2000,0
990,Spain-France,1451-1800,0
991,Spain-France,1801-1850,0
992,Spain-France,1851-1900,0
993,Spain-France,1901-1950,0
994,Spain-France,1951-2000,1
995,Spain-Germany,1451-1800,0
996,Spain-Germany,1801-1850,0
997,Spain-Germany,1851-1900,0
998,Spain-Germany,1901-1950,0
999,Spain-Germany,1951-2000,1
1000,Spain-Spain,1451-1800,0
1001,Spain-Spain,1801-1850,0
1002,Spain-Spain,1851-1900,0
1003,Spain-Spain,1901-1950,1
1004,Spain-Spain,1951-2000,0
1005,Spain-United Kingdom,1451-1800,0
1006,Spain-United Kingdom,1801-1850,0
1007,Spain-United Kingdom,1851-1900,0
1008,Spain-United Kingdom,1901-1950,0
1009,Spain-United Kingdom,1951-2000,1
1010,Sweden-Sweden,1451-1800,0
1011,Sweden-Sweden,1801-1850,0
1012,Sweden-Sweden,1851-1900,1
1013,Sweden-Sweden,1901-1950,2
1014,Sweden-Sweden,1951-2000,0
1015,Sweden-United States of America,1451-1800,0
1016,Sweden-United States of America,1801-1850,0
1017,Sweden-United States of America,1851-1900,0
1018,Sweden-United States of America,1901-1950,3
1019,Sweden-United States of America,1951-2000,0
1020,Switzerland-France,1451-1800,0
1021,Switzerland-France,1801-1850,0
1022,Switzerland-France,1851-1900,0
1023,Switzerland-France,1901-1950,1
1024,Switzerland-France,1951-2000,0
1025,Switzerland-Germany,1451-1800,0
1026,Switzerland-Germany,1801-1850,1
1027,Switzerland-Germany,1851-1900,5
1028,Switzerland-Germany,1901-1950,0
1029,Switzerland-Germany,1951-2000,0
1030,Switzerland-Israel,1451-1800,0
1031,Switzerland-Israel,1801-1850,0
1032,Switzerland-Israel,1851-1900,0
1033,Switzerland-Israel,1901-1950,0
1034,Switzerland-Israel,1951-2000,1
1035,Switzerland-Netherlands,1451-1800,0
1036,Switzerland-Netherlands,1801-1850,0
1037,Switzerland-Netherlands,1851-1900,1
1038,Switzerland-Netherlands,1901-1950,0
1039,Switzerland-Netherlands,1951-2000,0
1040,Switzerland-Switzerland,1451-1800,0
1041,Switzerland-Switzerland,1801-1850,0
1042,Switzerland-Switzerland,1851-1900,6
1043,Switzerland-Switzerland,1901-1950,0
1044,Switzerland-Switzerland,1951-2000,0
1045,Switzerland-United Kingdom,1451-1800,0
1046,Switzerland-United Kingdom,1801-1850,0
1047,Switzerland-United Kingdom,1851-1900,2
1048,Switzerland-United Kingdom,1901-1950,0
1049,Switzerland-United Kingdom,1951-2000,0
1050,Switzerland-United States of America,1451-1800,0
1051,Switzerland-United States of America,1801-1850,0
1052,Switzerland-United States of America,1851-1900,2
1053,Switzerland-United States of America,1901-1950,1
1054,Switzerland-United States of America,1951-2000,3
1055,Turkey-Japan,1451-1800,0
1056,Turkey-Japan,1801-1850,0
1057,Turkey-Japan,1851-1900,0
1058,Turkey-Japan,1901-1950,2
1059,Turkey-Japan,1951-2000,0
1060,Turkey-Turkey,1451-1800,0
1061,Turkey-Turkey,1801-1850,0
1062,Turkey-Turkey,1851-1900,0
1063,Turkey-Turkey,1901-1950,1
1064,Turkey-Turkey,1951-2000,9
1065,Uganda-Norway,1451-1800,0
1066,Uganda-Norway,1801-1850,0
1067,Uganda-Norway,1851-1900,0
1068,Uganda-Norway,1901-1950,0
1069,Uganda-Norway,1951-2000,1
1070,Ukraine-Ukraine,1451-1800,0
1071,Ukraine-Ukraine,1801-1850,0
1072,Ukraine-Ukraine,1851-1900,0
1073,Ukraine-Ukraine,1901-1950,1
1074,Ukraine-Ukraine,1951-2000,0
1075,United Kingdom-Australia,1451-1800,0
1076,United Kingdom-Australia,1801-1850,0
1077,United Kingdom-Australia,1851-1900,0
1078,United Kingdom-Australia,1901-1950,1
1079,United Kingdom-Australia,1951-2000,0
1080,United Kingdom-Austria,1451-1800,0
1081,United Kingdom-Austria,1801-1850,0
1082,United Kingdom-Austria,1851-1900,0
1083,United Kingdom-Austria,1901-1950,0
1084,United Kingdom-Austria,1951-2000,2
1085,United Kingdom-Bangladesh,1451-1800,0
1086,United Kingdom-Bangladesh,1801-1850,0
1087,United Kingdom-Bangladesh,1851-1900,0
1088,United Kingdom-Bangladesh,1901-1950,1
1089,United Kingdom-Bangladesh,1951-2000,0
1090,United Kingdom-Belgium,1451-1800,0
1091,United Kingdom-Belgium,1801-1850,0
1092,United Kingdom-Belgium,1851-1900,0
1093,United Kingdom-Belgium,1901-1950,0
1094,United Kingdom-Belgium,1951-2000,1
1095,United Kingdom-Canada,1451-1800,0
1096,United Kingdom-Canada,1801-1850,0
1097,United Kingdom-Canada,1851-1900,0
1098,United Kingdom-Canada,1901-1950,12
1099,United Kingdom-Canada,1951-2000,3
1100,United Kingdom-France,1451-1800,0
1101,United Kingdom-France,1801-1850,0
1102,United Kingdom-France,1851-1900,0
1103,United Kingdom-France,1901-1950,1
1104,United Kingdom-France,1951-2000,2
1105,United Kingdom-Germany,1451-1800,2
1106,United Kingdom-Germany,1801-1850,0
1107,United Kingdom-Germany,1851-1900,7
1108,United Kingdom-Germany,1901-1950,4
1109,United Kingdom-Germany,1951-2000,4
1110,United Kingdom-Italy,1451-1800,0
1111,United Kingdom-Italy,1801-1850,0
1112,United Kingdom-Italy,1851-1900,6
1113,United Kingdom-Italy,1901-1950,2
1114,United Kingdom-Italy,1951-2000,0
1115,United Kingdom-Netherlands,1451-1800,0
1116,United Kingdom-Netherlands,1801-1850,0
1117,United Kingdom-Netherlands,1851-1900,0
1118,United Kingdom-Netherlands,1901-1950,2
1119,United Kingdom-Netherlands,1951-2000,0
1120,United Kingdom-New Zealand,1451-1800,0
1121,United Kingdom-New Zealand,1801-1850,0
1122,United Kingdom-New Zealand,1851-1900,0
1123,United Kingdom-New Zealand,1901-1950,2
1124,United Kingdom-New Zealand,1951-2000,1
1125,United Kingdom-Nigeria,1451-1800,0
1126,United Kingdom-Nigeria,1801-1850,0
1127,United Kingdom-Nigeria,1851-1900,0
1128,United Kingdom-Nigeria,1901-1950,1
1129,United Kingdom-Nigeria,1951-2000,0
1130,United Kingdom-Norway,1451-1800,0
1131,United Kingdom-Norway,1801-1850,0
1132,United Kingdom-Norway,1851-1900,0
1133,United Kingdom-Norway,1901-1950,5
1134,United Kingdom-Norway,1951-2000,0
1135,United Kingdom-Pakistan,1451-1800,0
1136,United Kingdom-Pakistan,1801-1850,0
1137,United Kingdom-Pakistan,1851-1900,1
1138,United Kingdom-Pakistan,1901-1950,12
1139,United Kingdom-Pakistan,1951-2000,1
1140,United Kingdom-Poland,1451-1800,0
1141,United Kingdom-Poland,1801-1850,0
1142,United Kingdom-Poland,1851-1900,0
1143,United Kingdom-Poland,1901-1950,1
1144,United Kingdom-Poland,1951-2000,0
1145,United Kingdom-Portugal,1451-1800,0
1146,United Kingdom-Portugal,1801-1850,0
1147,United Kingdom-Portugal,1851-1900,0
1148,United Kingdom-Portugal,1901-1950,0
1149,United Kingdom-Portugal,1951-2000,1
1150,United Kingdom-Romania,1451-1800,0
1151,United Kingdom-Romania,1801-1850,0
1152,United Kingdom-Romania,1851-1900,0
1153,United Kingdom-Romania,1901-1950,2
1154,United Kingdom-Romania,1951-2000,0
1155,United Kingdom-Russia,1451-1800,0
1156,United Kingdom-Russia,1801-1850,0
1157,United Kingdom-Russia,1851-1900,0
1158,United Kingdom-Russia,1901-1950,0
1159,United Kingdom-Russia,1951-2000,1
1160,United Kingdom-Saudi Arabia,1451-1800,0
1161,United Kingdom-Saudi Arabia,1801-1850,0
1162,United Kingdom-Saudi Arabia,1851-1900,0
1163,United Kingdom-Saudi Arabia,1901-1950,2
1164,United Kingdom-Saudi Arabia,1951-2000,0
1165,United Kingdom-South Africa,1451-1800,0
1166,United Kingdom-South Africa,1801-1850,0
1167,United Kingdom-South Africa,1851-1900,1
1168,United Kingdom-South Africa,1901-1950,3
1169,United Kingdom-South Africa,1951-2000,0
1170,United Kingdom-Spain,1451-1800,0
1171,United Kingdom-Spain,1801-1850,0
1172,United Kingdom-Spain,1851-1900,0
1173,United Kingdom-Spain,1901-1950,0
1174,United Kingdom-Spain,1951-2000,1
1175,United Kingdom-Switzerland,1451-1800,0
1176,United Kingdom-Switzerland,1801-1850,0
1177,United Kingdom-Switzerland,1851-1900,1
1178,United Kingdom-Switzerland,1901-1950,0
1179,United Kingdom-Switzerland,1951-2000,0
1180,United Kingdom-United Kingdom,1451-1800,4
1181,United Kingdom-United Kingdom,1801-1850,18
1182,United Kingdom-United Kingdom,1851-1900,48
1183,United Kingdom-United Kingdom,1901-1950,219
1184,United Kingdom-United Kingdom,1951-2000,88
1185,United Kingdom-United States of America,1451-1800,0
1186,United Kingdom-United States of America,1801-1850,3
1187,United Kingdom-United States of America,1851-1900,5
1188,United Kingdom-United States of America,1901-1950,45
1189,United Kingdom-United States of America,1951-2000,15
1190,United States of America-Argentina,1451-1800,0
1191,United States of America-Argentina,1801-1850,0
1192,United States of America-Argentina,1851-1900,0
1193,United States of America-Argentina,1901-1950,3
1194,United States of America-Argentina,1951-2000,0
1195,United States of America-Australia,1451-1800,0
1196,United States of America-Australia,1801-1850,0
1197,United States of America-Australia,1851-1900,0
1198,United States of America-Australia,1901-1950,3
1199,United States of America-Australia,1951-2000,1
1200,United States of America-Austria,1451-1800,0
1201,United States of America-Austria,1801-1850,0
1202,United States of America-Austria,1851-1900,3
1203,United States of America-Austria,1901-1950,7
1204,United States of America-Austria,1951-2000,1
1205,United States of America-Belgium,1451-1800,0
1206,United States of America-Belgium,1801-1850,0
1207,United States of America-Belgium,1851-1900,0
1208,United States of America-Belgium,1901-1950,2
1209,United States of America-Belgium,1951-2000,1
1210,United States of America-Brazil,1451-1800,0
1211,United States of America-Brazil,1801-1850,0
1212,United States of America-Brazil,1851-1900,0
1213,United States of America-Brazil,1901-1950,0
1214,United States of America-Brazil,1951-2000,4
1215,United States of America-Canada,1451-1800,0
1216,United States of America-Canada,1801-1850,0
1217,United States of America-Canada,1851-1900,2
1218,United States of America-Canada,1901-1950,39
1219,United States of America-Canada,1951-2000,9
1220,United States of America-China,1451-1800,0
1221,United States of America-China,1801-1850,0
1222,United States of America-China,1851-1900,0
1223,United States of America-China,1901-1950,3
1224,United States of America-China,1951-2000,10
1225,United States of America-Croatia,1451-1800,0
1226,United States of America-Croatia,1801-1850,0
1227,United States of America-Croatia,1851-1900,0
1228,United States of America-Croatia,1901-1950,3
1229,United States of America-Croatia,1951-2000,0
1230,United States of America-Czechia,1451-1800,0
1231,United States of America-Czechia,1801-1850,0
1232,United States of America-Czechia,1851-1900,0
1233,United States of America-Czechia,1901-1950,1
1234,United States of America-Czechia,1951-2000,0
1235,United States of America-Denmark,1451-1800,0
1236,United States of America-Denmark,1801-1850,0
1237,United States of America-Denmark,1851-1900,0
1238,United States of America-Denmark,1901-1950,3
1239,United States of America-Denmark,1951-2000,0
1240,United States of America-Finland,1451-1800,0
1241,United States of America-Finland,1801-1850,0
1242,United States of America-Finland,1851-1900,0
1243,United States of America-Finland,1901-1950,1
1244,United States of America-Finland,1951-2000,0
1245,United States of America-France,1451-1800,0
1246,United States of America-France,1801-1850,0
1247,United States of America-France,1851-1900,6
1248,United States of America-France,1901-1950,3
1249,United States of America-France,1951-2000,2
1250,United States of America-Germany,1451-1800,0
1251,United States of America-Germany,1801-1850,0
1252,United States of America-Germany,1851-1900,17
1253,United States of America-Germany,1901-1950,20
1254,United States of America-Germany,1951-2000,6
1255,United States of America-Greece,1451-1800,0
1256,United States of America-Greece,1801-1850,0
1257,United States of America-Greece,1851-1900,0
1258,United States of America-Greece,1901-1950,0
1259,United States of America-Greece,1951-2000,1
1260,United States of America-Hungary,1451-1800,0
1261,United States of America-Hungary,1801-1850,0
1262,United States of America-Hungary,1851-1900,0
1263,United States of America-Hungary,1901-1950,2
1264,United States of America-Hungary,1951-2000,1
1265,United States of America-India,1451-1800,0
1266,United States of America-India,1801-1850,0
1267,United States of America-India,1851-1900,0
1268,United States of America-India,1901-1950,1
1269,United States of America-India,1951-2000,2
1270,United States of America-Israel,1451-1800,0
1271,United States of America-Israel,1801-1850,0
1272,United States of America-Israel,1851-1900,0
1273,United States of America-Israel,1901-1950,11
1274,United States of America-Israel,1951-2000,3
1275,United States of America-Italy,1451-1800,0
1276,United States of America-Italy,1801-1850,0
1277,United States of America-Italy,1851-1900,1
1278,United States of America-Italy,1901-1950,4
1279,United States of America-Italy,1951-2000,1
1280,United States of America-Japan,1451-1800,0
1281,United States of America-Japan,1801-1850,0
1282,United States of America-Japan,1851-1900,0
1283,United States of America-Japan,1901-1950,9
1284,United States of America-Japan,1951-2000,2
1285,United States of America-Mexico,1451-1800,0
1286,United States of America-Mexico,1801-1850,0
1287,United States of America-Mexico,1851-1900,2
1288,United States of America-Mexico,1901-1950,0
1289,United States of America-Mexico,1951-2000,0
1290,United States of America-Netherlands,1451-1800,0
1291,United States of America-Netherlands,1801-1850,0
1292,United States of America-Netherlands,1851-1900,1
1293,United States of America-Netherlands,1901-1950,8
1294,United States of America-Netherlands,1951-2000,0
1295,United States of America-Norway,1451-1800,0
1296,United States of America-Norway,1801-1850,0
1297,United States of America-Norway,1851-1900,0
1298,United States of America-Norway,1901-1950,5
1299,United States of America-Norway,1951-2000,0
1300,United States of America-Pakistan,1451-1800,0
1301,United States of America-Pakistan,1801-1850,0
1302,United States of America-Pakistan,1851-1900,0
1303,United States of America-Pakistan,1901-1950,16
1304,United States of America-Pakistan,1951-2000,4
1305,United States of America-Palestine,1451-1800,0
1306,United States of America-Palestine,1801-1850,0
1307,United States of America-Palestine,1851-1900,0
1308,United States of America-Palestine,1901-1950,1
1309,United States of America-Palestine,1951-2000,0
1310,United States of America-Poland,1451-1800,0
1311,United States of America-Poland,1801-1850,0
1312,United States of America-Poland,1851-1900,1
1313,United States of America-Poland,1901-1950,11
1314,United States of America-Poland,1951-2000,2
1315,United States of America-Puerto Rico,1451-1800,0
1316,United States of America-Puerto Rico,1801-1850,0
1317,United States of America-Puerto Rico,1851-1900,0
1318,United States of America-Puerto Rico,1901-1950,1
1319,United States of America-Puerto Rico,1951-2000,0
1320,United States of America-Romania,1451-1800,0
1321,United States of America-Romania,1801-1850,0
1322,United States of America-Romania,1851-1900,0
1323,United States of America-Romania,1901-1950,10
1324,United States of America-Romania,1951-2000,3
1325,United States of America-Russia,1451-1800,0
1326,United States of America-Russia,1801-1850,0
1327,United States of America-Russia,1851-1900,2
1328,United States of America-Russia,1901-1950,7
1329,United States of America-Russia,1951-2000,6
1330,United States of America-Slovenia,1451-1800,0
1331,United States of America-Slovenia,1801-1850,0
1332,United States of America-Slovenia,1851-1900,0
1333,United States of America-Slovenia,1901-1950,1
1334,United States of America-Slovenia,1951-2000,2
1335,United States of America-South Africa,1451-1800,0
1336,United States of America-South Africa,1801-1850,0
1337,United States of America-South Africa,1851-1900,0
1338,United States of America-South Africa,1901-1950,1
1339,United States of America-South Africa,1951-2000,5
1340,United States of America-Sweden,1451-1800,0
1341,United States of America-Sweden,1801-1850,0
1342,United States of America-Sweden,1851-1900,0
1343,United States of America-Sweden,1901-1950,11
1344,United States of America-Sweden,1951-2000,0
1345,United States of America-Switzerland,1451-1800,0
1346,United States of America-Switzerland,1801-1850,0
1347,United States of America-Switzerland,1851-1900,12
1348,United States of America-Switzerland,1901-1950,0
1349,United States of America-Switzerland,1951-2000,1
1350,United States of America-Turkey,1451-1800,0
1351,United States of America-Turkey,1801-1850,0
1352,United States of America-Turkey,1851-1900,0
1353,United States of America-Turkey,1901-1950,0
1354,United States of America-Turkey,1951-2000,10
1355,United States of America-United Kingdom,1451-1800,0
1356,United States of America-United Kingdom,1801-1850,3
1357,United States of America-United Kingdom,1851-1900,13
1358,United States of America-United Kingdom,1901-1950,83
1359,United States of America-United Kingdom,1951-2000,41
1360,United States of America-United States of America,1451-1800,3
1361,United States of America-United States of America,1801-1850,5
1362,United States of America-United States of America,1851-1900,172
1363,United States of America-United States of America,1901-1950,756
1364,United States of America-United States of America,1951-2000,228
