,relation,periode,effectif
141,Brazil-South Africa,1801-1850,0
142,Brazil-South Africa,1851-1900,0
143,Brazil-South Africa,1901-1950,1
144,Brazil-South Africa,1951-2000,0
145,Brazil-United Kingdom,1451-1800,0
146,Brazil-United Kingdom,1801-1850,0
147,Brazil-United Kingdom,1851-1900,0
148,Brazil-United Kingdom,1901-1950,1
149,Brazil-United Kingdom,1951-2000,2
150,Brazil-United States of America,1451-1800,0
151,Brazil-United States of America,1801-1850,0
152,Brazil-United States of America,1851-1900,0
153,Brazil-United States of America,1901-1950,5
154,Brazil-United States of America,1951-2000,2
155,Bulgaria-France,1451-1800,0
156,Bulgaria-France,1801-1850,0
157,Bulgaria-France,1851-1900,0
158,Bulgaria-France,1901-1950,2
159,Bulgaria-France,1951-2000,0
160,Canada-Australia,1451-1800,0
161,Canada-Australia,1801-1850,0
162,Canada-Australia,1851-1900,0
163,Canada-Australia,1901-1950,2
164,Canada-Australia,1951-2000,0
165,Canada-Brazil,1451-1800,0
166,Canada-Brazil,1801-1850,0
167,Canada-Brazil,1851-1900,0
168,Canada-Brazil,1901-1950,1
169,Canada-Brazil,1951-2000,0
170,Canada-Canada,1451-1800,0
171,Canada-Canada,1801-1850,0
172,Canada-Canada,1851-1900,1
173,Canada-Canada,1901-1950,20
174,Canada-Canada,1951-2000,10
175,Canada-Japan,1451-1800,0
176,Canada-Japan,1801-1850,0
177,Canada-Japan,1851-1900,0
178,Canada-Japan,1901-1950,1
179,Canada-Japan,1951-2000,0
180,Canada-Netherlands,1451-1800,0
181,Canada-Netherlands,1801-1850,0
182,Canada-Netherlands,1851-1900,0
183,Canada-Netherlands,1901-1950,1
184,Canada-Netherlands,1951-2000,0
185,Canada-New Zealand,1451-1800,0
186,Canada-New Zealand,1801-1850,0
187,Canada-New Zealand,1851-1900,0
188,Canada-New Zealand,1901-1950,2
189,Canada-New Zealand,1951-2000,0
190,Canada-United Kingdom,1451-1800,0
191,Canada-United Kingdom,1801-1850,0
192,Canada-United Kingdom,1851-1900,0
193,Canada-United Kingdom,1901-1950,0
194,Canada-United Kingdom,1951-2000,3
195,Canada-United States of America,1451-1800,0
196,Canada-United States of America,1801-1850,0
197,Canada-United States of America,1851-1900,1
198,Canada-United States of America,1901-1950,15
199,Canada-United States of America,1951-2000,6
200,China-Canada,1451-1800,0
201,China-Canada,1801-1850,0
202,China-Canada,1851-1900,0
203,China-Canada,1901-1950,0
204,China-Canada,1951-2000,3
205,China-China,1451-1800,0
206,China-China,1801-1850,0
207,China-China,1851-1900,0
208,China-China,1901-1950,4
209,China-China,1951-2000,4
210,China-France,1451-1800,0
211,China-France,1801-1850,0
212,China-France,1851-1900,0
213,China-France,1901-1950,1
214,China-France,1951-2000,0
215,China-Germany,1451-1800,0
216,China-Germany,1801-1850,0
217,China-Germany,1851-1900,0
218,China-Germany,1901-1950,1
219,China-Germany,1951-2000,0
220,China-United Kingdom,1451-1800,0
221,China-United Kingdom,1801-1850,0
222,China-United Kingdom,1851-1900,0
223,China-United Kingdom,1901-1950,0
224,China-United Kingdom,1951-2000,1
225,China-United States of America,1451-1800,0
226,China-United States of America,1801-1850,0
227,China-United States of America,1851-1900,0
228,China-United States of America,1901-1950,3
229,China-United States of America,1951-2000,8
230,Colombia-France,1451-1800,0
231,Colombia-France,1801-1850,0
232,Colombia-France,1851-1900,0
233,Colombia-France,1901-1950,0
234,Colombia-France,1951-2000,1
235,Colombia-United States of America,1451-1800,0
236,Colombia-United States of America,1801-1850,0
237,Colombia-United States of America,1851-1900,0
238,Colombia-United States of America,1901-1950,0
239,Colombia-United States of America,1951-2000,1
240,Czechia-Austria,1451-1800,1
241,Czechia-Austria,1801-1850,0
242,Czechia-Austria,1851-1900,0
243,Czechia-Austria,1901-1950,0
244,Czechia-Austria,1951-2000,0
245,Czechia-Poland,1451-1800,1
246,Czechia-Poland,1801-1850,0
247,Czechia-Poland,1851-1900,0
248,Czechia-Poland,1901-1950,0
249,Czechia-Poland,1951-2000,0
250,Czechia-Switzerland,1451-1800,0
251,Czechia-Switzerland,1801-1850,0
252,Czechia-Switzerland,1851-1900,0
253,Czechia-Switzerland,1901-1950,0
254,Czechia-Switzerland,1951-2000,2
255,Czechia-United Kingdom,1451-1800,0
256,Czechia-United Kingdom,1801-1850,0
257,Czechia-United Kingdom,1851-1900,0
258,Czechia-United Kingdom,1901-1950,1
259,Czechia-United Kingdom,1951-2000,0
260,Czechia-United States of America,1451-1800,0
261,Czechia-United States of America,1801-1850,0
262,Czechia-United States of America,1851-1900,0
263,Czechia-United States of America,1901-1950,5
264,Czechia-United States of America,1951-2000,0
265,Denmark-Croatia,1451-1800,0
266,Denmark-Croatia,1801-1850,0
267,Denmark-Croatia,1851-1900,0
268,Denmark-Croatia,1901-1950,1
269,Denmark-Croatia,1951-2000,0
270,Denmark-Denmark,1451-1800,0
271,Denmark-Denmark,1801-1850,0
272,Denmark-Denmark,1851-1900,0
273,Denmark-Denmark,1901-1950,3
274,Denmark-Denmark,1951-2000,0
275,Denmark-Germany,1451-1800,1
276,Denmark-Germany,1801-1850,0
277,Denmark-Germany,1851-1900,0
278,Denmark-Germany,1901-1950,1
279,Denmark-Germany,1951-2000,0
280,Denmark-Norway,1451-1800,0
281,Denmark-Norway,1801-1850,0
282,Denmark-Norway,1851-1900,2
283,Denmark-Norway,1901-1950,0
284,Denmark-Norway,1951-2000,0
285,Denmark-United Kingdom,1451-1800,0
286,Denmark-United Kingdom,1801-1850,0
287,Denmark-United Kingdom,1851-1900,0
288,Denmark-United Kingdom,1901-1950,1
289,Denmark-United Kingdom,1951-2000,0
290,Denmark-United States of America,1451-1800,0
291,Denmark-United States of America,1801-1850,0
292,Denmark-United States of America,1851-1900,0
293,Denmark-United States of America,1901-1950,1
294,Denmark-United States of America,1951-2000,0
295,Egypt-Germany,1451-1800,0
296,Egypt-Germany,1801-1850,0
297,Egypt-Germany,1851-1900,1
298,Egypt-Germany,1901-1950,0
299,Egypt-Germany,1951-2000,0
300,Egypt-India,1451-1800,0
301,Egypt-India,1801-1850,0
302,Egypt-India,1851-1900,2
303,Egypt-India,1901-1950,0
304,Egypt-India,1951-2000,0
305,Egypt-Italy,1451-1800,0
306,Egypt-Italy,1801-1850,0
307,Egypt-Italy,1851-1900,2
308,Egypt-Italy,1901-1950,0
309,Egypt-Italy,1951-2000,0
310,Egypt-United Kingdom,1451-1800,0
311,Egypt-United Kingdom,1801-1850,0
312,Egypt-United Kingdom,1851-1900,3
313,Egypt-United Kingdom,1901-1950,0
314,Egypt-United Kingdom,1951-2000,0
315,Estonia-Estonia,1451-1800,0
316,Estonia-Estonia,1801-1850,1
317,Estonia-Estonia,1851-1900,0
318,Estonia-Estonia,1901-1950,0
319,Estonia-Estonia,1951-2000,0
320,Finland-Finland,1451-1800,0
321,Finland-Finland,1801-1850,0
322,Finland-Finland,1851-1900,1
323,Finland-Finland,1901-1950,0
324,Finland-Finland,1951-2000,0
325,France-Belgium,1451-1800,0
326,France-Belgium,1801-1850,0
327,France-Belgium,1851-1900,0
328,France-Belgium,1901-1950,2
329,France-Belgium,1951-2000,0
330,France-Canada,1451-1800,0
331,France-Canada,1801-1850,0
332,France-Canada,1851-1900,0
333,France-Canada,1901-1950,0
334,France-Canada,1951-2000,1
335,France-France,1451-1800,0
336,France-France,1801-1850,0
337,France-France,1851-1900,1
338,France-France,1901-1950,10
339,France-France,1951-2000,4
340,France-Germany,1451-1800,0
341,France-Germany,1801-1850,0
342,France-Germany,1851-1900,0
343,France-Germany,1901-1950,1
344,France-Germany,1951-2000,1
345,France-India,1451-1800,0
346,France-India,1801-1850,0
347,France-India,1851-1900,0
348,France-India,1901-1950,4
349,France-India,1951-2000,0
350,France-Netherlands,1451-1800,0
351,France-Netherlands,1801-1850,0
352,France-Netherlands,1851-1900,0
353,France-Netherlands,1901-1950,0
354,France-Netherlands,1951-2000,1
355,France-Romania,1451-1800,0
356,France-Romania,1801-1850,0
357,France-Romania,1851-1900,0
358,France-Romania,1901-1950,4
359,France-Romania,1951-2000,0
360,France-Switzerland,1451-1800,0
361,France-Switzerland,1801-1850,0
362,France-Switzerland,1851-1900,0
363,France-Switzerland,1901-1950,0
364,France-Switzerland,1951-2000,2
365,France-United Kingdom,1451-1800,0
366,France-United Kingdom,1801-1850,0
367,France-United Kingdom,1851-1900,0
368,France-United Kingdom,1901-1950,1
369,France-United Kingdom,1951-2000,6
370,France-United States of America,1451-1800,0
371,France-United States of America,1801-1850,0
372,France-United States of America,1851-1900,1
373,France-United States of America,1901-1950,8
374,France-United States of America,1951-2000,9
375,Georgia-Germany,1451-1800,0
376,Georgia-Germany,1801-1850,0
377,Georgia-Germany,1851-1900,1
378,Georgia-Germany,1901-1950,0
379,Georgia-Germany,1951-2000,0
380,Germany-Australia,1451-1800,0
381,Germany-Australia,1801-1850,0
382,Germany-Australia,1851-1900,0
383,Germany-Australia,1901-1950,1
384,Germany-Australia,1951-2000,0
385,Germany-Austria,1451-1800,0
386,Germany-Austria,1801-1850,1
387,Germany-Austria,1851-1900,8
388,Germany-Austria,1901-1950,0
389,Germany-Austria,1951-2000,0
390,Germany-Belgium,1451-1800,0
391,Germany-Belgium,1801-1850,0
392,Germany-Belgium,1851-1900,0
393,Germany-Belgium,1901-1950,1
394,Germany-Belgium,1951-2000,0
395,Germany-Canada,1451-1800,0
396,Germany-Canada,1801-1850,0
397,Germany-Canada,1851-1900,0
398,Germany-Canada,1901-1950,2
399,Germany-Canada,1951-2000,0
400,Germany-Croatia,1451-1800,0
401,Germany-Croatia,1801-1850,0
402,Germany-Croatia,1851-1900,0
403,Germany-Croatia,1901-1950,1
404,Germany-Croatia,1951-2000,0
405,Germany-Denmark,1451-1800,1
406,Germany-Denmark,1801-1850,0
407,Germany-Denmark,1851-1900,0
408,Germany-Denmark,1901-1950,0
409,Germany-Denmark,1951-2000,0
410,Germany-France,1451-1800,0
411,Germany-France,1801-1850,1
412,Germany-France,1851-1900,0
413,Germany-France,1901-1950,0
414,Germany-France,1951-2000,2
415,Germany-Germany,1451-1800,4
416,Germany-Germany,1801-1850,16
417,Germany-Germany,1851-1900,36
418,Germany-Germany,1901-1950,39
419,Germany-Germany,1951-2000,9
420,Germany-Hungary,1451-1800,0
421,Germany-Hungary,1801-1850,0
422,Germany-Hungary,1851-1900,0
423,Germany-Hungary,1901-1950,1
424,Germany-Hungary,1951-2000,0
425,Germany-Italy,1451-1800,0
426,Germany-Italy,1801-1850,0
427,Germany-Italy,1851-1900,0
428,Germany-Italy,1901-1950,1
429,Germany-Italy,1951-2000,0
430,Germany-Netherlands,1451-1800,0
431,Germany-Netherlands,1801-1850,0
432,Germany-Netherlands,1851-1900,0
433,Germany-Netherlands,1901-1950,2
434,Germany-Netherlands,1951-2000,2
435,Germany-Norway,1451-1800,0
436,Germany-Norway,1801-1850,0
437,Germany-Norway,1851-1900,0
438,Germany-Norway,1901-1950,3
439,Germany-Norway,1951-2000,0
440,Germany-Poland,1451-1800,0
441,Germany-Poland,1801-1850,0
442,Germany-Poland,1851-1900,1
443,Germany-Poland,1901-1950,0
444,Germany-Poland,1951-2000,0
445,Germany-Romania,1451-1800,0
446,Germany-Romania,1801-1850,0
447,Germany-Romania,1851-1900,0
448,Germany-Romania,1901-1950,0
449,Germany-Romania,1951-2000,1
450,Germany-Russia,1451-1800,0
451,Germany-Russia,1801-1850,1
452,Germany-Russia,1851-1900,0
453,Germany-Russia,1901-1950,7
454,Germany-Russia,1951-2000,0
455,Germany-Switzerland,1451-1800,0
456,Germany-Switzerland,1801-1850,0
457,Germany-Switzerland,1851-1900,3
458,Germany-Switzerland,1901-1950,1
459,Germany-Switzerland,1951-2000,0
460,Germany-United Kingdom,1451-1800,0
461,Germany-United Kingdom,1801-1850,0
462,Germany-United Kingdom,1851-1900,1
