"o1","birthYear"
"http://dbpedia.org/resource/Ismaël_Bullialdus",1605
"http://dbpedia.org/resource/Juan_Caramuel_y_Lobkowitz",1606
"http://dbpedia.org/resource/Vincentio_Reinieri",1606
"http://dbpedia.org/resource/Lodovico_Buglio",1606
"http://dbpedia.org/resource/Pierre_de_Fermat",1607
"http://dbpedia.org/resource/Honoré_Fabri",1608
"http://dbpedia.org/resource/Giovanni_Alfonso_Borelli",1608
"http://dbpedia.org/resource/William_Crabtree",1610
"http://dbpedia.org/resource/Johannes_Hevelius",1611
"http://dbpedia.org/resource/John_Pell_(mathematician)",1611
"http://dbpedia.org/resource/Frans_van_Schooten",1615
"http://dbpedia.org/resource/Nicholas_Culpeper",1616
"http://dbpedia.org/resource/John_Owen_(theologian)",1616
"http://dbpedia.org/resource/Thomas_Bartholin",1616
"http://dbpedia.org/resource/Elias_Ashmole",1617
"http://dbpedia.org/resource/Jonas_Moore",1617
"http://dbpedia.org/resource/Jeremiah_Horrocks",1618
"http://dbpedia.org/resource/Francesco_Maria_Grimaldi",1618
"http://dbpedia.org/resource/Claude_Mylon",1618
"http://dbpedia.org/resource/Michelangelo_Ricci",1619
"http://dbpedia.org/resource/Jean_Picard",1620
"http://dbpedia.org/resource/William_Brouncker,_2nd_Viscount_Brouncker",1620
"http://dbpedia.org/resource/Magnus_Celsius",1621
"http://dbpedia.org/resource/Vincenzo_Viviani",1622
"http://dbpedia.org/resource/René-François_de_Sluse",1622
"http://dbpedia.org/resource/Ferdinand_Verbiest",1623
"http://dbpedia.org/resource/Blaise_Pascal",1623
"http://dbpedia.org/resource/Giovanni_Domenico_Cassini",1625
"http://dbpedia.org/resource/Erhard_Weigel",1625
"http://dbpedia.org/resource/William_Ramsay_(astrologer)",1626
"http://dbpedia.org/resource/Johannes_Hudde",1628
"http://dbpedia.org/resource/Christiaan_Huygens",1629
"http://dbpedia.org/resource/Richard_Towneley",1629
"http://dbpedia.org/resource/Samuel_von_Pufendorf",1632
"http://dbpedia.org/resource/Geminiano_Montanari",1633
"http://dbpedia.org/resource/Alessandro_Marchetti_(mathematician)",1633
"http://dbpedia.org/resource/Giuseppe_Campani",1635
"http://dbpedia.org/resource/Francis_Willughby",1635
"http://dbpedia.org/resource/Pieter_de_Graeff",1638
"http://dbpedia.org/resource/Gottfried_Kirch",1639
"http://dbpedia.org/resource/Philippe_de_La_Hire",1640
"http://dbpedia.org/resource/Bernard_Lamy",1640
"http://dbpedia.org/resource/Jacques_Ozanam",1640
"http://dbpedia.org/resource/Isaac_Newton",1642
"http://dbpedia.org/resource/Seki_Takakazu",1642
"http://dbpedia.org/resource/Ole_Rømer",1644
