,metier,pourcentage
0,usine_batiment,70.78189300411523
1,education,34.5679012345679
2,domestique,23.456790123456788
3,artisanat_vente,13.168724279835391
4,service_publique,12.757201646090536
5,impression_journalisme,9.876543209876543
6,employe_bureau,9.053497942386832
7,santé_social,7.818930041152264
8,restauration_hotellerie,6.172839506172839
9,droit_finance,4.11522633744856
10,agriculture,3.292181069958848
11,etude_formation,1.2345679012345678
12,autres,1.2345679012345678
13,artistique,0.411522633744856
