,start,end,pourcentage_femmes,pourcentage_hommes
0,1961,1965,25.352112676056336,74.64788732394366
1,1966,1970,21.428571428571427,78.57142857142857
2,1971,1975,19.230769230769234,80.76923076923077
3,1976,1980,33.33333333333333,66.66666666666666
