,start,end,pourcentage_femmes,pourcentage_hommes
0,1973,1974,23.076923076923077,76.92307692307693
1,1975,1976,32.142857142857146,67.85714285714286
2,1977,1978,37.03703703703704,62.96296296296296
3,1979,1980,25.0,75.0
4,1981,1982,25.0,75.0
5,1983,1984,17.391304347826086,82.6086956521739
6,1985,1986,17.647058823529413,82.35294117647058
