,start,end,pourcentage_femmes,pourcentage_hommes
0,1961,1965,24.545454545454547,75.45454545454545
1,1966,1970,17.94871794871795,82.05128205128204
2,1971,1975,28.169014084507044,71.83098591549296
3,1976,1980,36.89320388349515,63.10679611650486
