,start,end,pourcentage_femmes,pourcentage_hommes
0,1957,1960,25.333333333333336,74.66666666666667
1,1961,1964,30.434782608695656,69.56521739130434
2,1965,1968,25.547445255474454,74.45255474452554
3,1969,1972,36.76470588235294,63.23529411764706
4,1973,1976,61.702127659574465,38.297872340425535
