pk_participation;annee;sources;fk_personne;fk_evenement;fk_lieu;fk_liste
428;1976;4CHA.3/22, résultats de l'élection des conseils généraux des 8 et 9 mai 1976, 2.06.1976;452;4;6;1
429;1976;4CHA.3/22, résultats de l'élection des conseils généraux des 8 et 9 mai 1976, 2.06.1976;10;4;6;1
430;1976;4CHA.3/22, résultats de l'élection des conseils généraux des 8 et 9 mai 1976, 2.06.1976;122;4;6;1
431;1976;4CHA.3/22, résultats de l'élection des conseils généraux des 8 et 9 mai 1976, 2.06.1976;438;4;6;1
432;1976;4CHA.3/22, résultats de l'élection des conseils généraux des 8 et 9 mai 1976, 2.06.1976;452;4;6;1
433;1976;4CHA.3/22, résultats de l'élection des conseils généraux des 8 et 9 mai 1976, 2.06.1976;453;4;6;1
434;1976;4CHA.3/22, résultats de l'élection des conseils généraux des 8 et 9 mai 1976, 2.06.1976;454;4;6;1
435;1976;4CHA.3/22, résultats de l'élection des conseils généraux des 8 et 9 mai 1976, 2.06.1976;90;4;6;1
436;1980;L'Impartial n°314001, 12.05.1980, p. 5;50;4;1;1
437;1980;L'Impartial n°314001, 12.05.1980;304;4;1;1
438;1980;L'Impartial n°314001, 12.05.1980;41;4;1;1
439;1980;L'Impartial n°314001, 12.05.1980;46;4;1;1
440;1980;L'Impartial n°314001, 12.05.1980;33;4;1;1
441;1980;L'Impartial n°314001, 12.05.1980;450;4;1;1
442;1980;L'Impartial n°314001, 12.05.1980;27;4;1;1
443;1980;L'Impartial n°314001, 12.05.1980, p. 6;61;4;5;1
444;1980;L'Impartial n°314001, 12.05.1980, p. 6;64;4;5;1
445;1980;L'Impartial n°314001, 12.05.1980, p. 6;79;4;5;1
446;1980;L'Impartial n°314001, 12.05.1980, p. 6;402;4;5;1
447;1980;L'Impartial n°314001, 12.05.1980, p. 6;77;4;5;1
448;1980;L'Impartial n°314001, 12.05.1980, p. 6;11;4;5;1
449;1980;L'Impartial n°314001, 12.05.1980, p. 6;455;4;5;1
450;1980;L'Impartial n°314001, 12.05.1980, p. 6;72;4;5;1
451;1980;L'Impartial n°314001, 12.05.1980, p. 6;456;4;5;1
452;1980;L'Impartial n°314001, 12.05.1980, p. 6;457;4;5;1
453;1980;L'Impartial n°314001, 12.05.1980, p. 6;458;4;5;1
454;1980;L'Impartial n°314001, 12.05.1980, p. 6;118;4;6;1
455;1980;L'Impartial n°314001, 12.05.1980, p. 6;111;4;6;1
456;1980;L'Impartial n°314001, 12.05.1980, p. 6;2;4;6;1
457;1980;L'Impartial n°314001, 12.05.1980, p. 6;117;4;6;1
458;1980;L'Impartial n°314001, 12.05.1980, p. 6;43;4;6;1
459;1980;L'Impartial n°314001, 12.05.1980, p. 6;459;4;6;1
460;1980;L'Impartial n°314001, 12.05.1980, p. 6;460;4;6;1
461;1980;L'Impartial n°314001, 12.05.1980, p. 6;454;4;6;1
462;1980;L'Impartial n°314001, 12.05.1980, p. 6;10;4;6;1
463;1980;L'Impartial n°314001, 12.05.1980, p. 6;214;4;6;1
464;1980;L'Impartial n°314001, 12.05.1980, p. 6;101;4;6;1
465;1980;L'Impartial n°314001, 12.05.1980, p. 6;306;4;6;1
466;1980;L'Impartial n°314001, 12.05.1980, p. 6;461;4;6;1
467;1980;L'Impartial n°314001, 12.05.1980, p. 6;462;4;6;1
