id;nom;prenom;genre;election;district;candidature
2;corswant;marcelle;F;election_parlement;la_chaux-de-fonds;1969
3;beuret;helene;F;election_parlement;la_chaux-de-fonds;1969
4;greub;margot;F;election_parlement;la_chaux-de-fonds;1969
5;aeschlimann;jeanne-marie;F;election_parlement;le_locle;1969
6;huther;josette;F;election_parlement;neuchatel;1969
8;Eplattenier;lily;F;election_parlement;neuchatel;1969
19;duvanel;jean;M;election_parlement;neuchatel;1969
21;sidler;louis;M;election_parlement;la_chaux-de-fonds;1969
27;hirschi;gerard;M;election_parlement;neuchatel;1969
29;de_ribaupierre;suzanne;F;election_parlement;neuchatel;1969
30;annen;daniel;M;election_parlement;neuchatel;1969
31;guillod;jacques;M;election_parlement;neuchatel;1969
33;leuba;pierre;M;election_parlement;neuchatel;1969
34;michel;paul;M;election_parlement;neuchatel;1969
35;payot;francois;M;election_parlement;neuchatel;1969
36;pingeon;gilbert;M;election_parlement;neuchatel;1969
37;perret-gentil;rene;M;election_parlement;neuchatel;1969
38;rebetez;francois;M;election_parlement;neuchatel;1969
39;scuri;paul;M;election_parlement;neuchatel;1969
40;wulser;hugues;M;election_parlement;neuchatel;1969
41;dind;jacques;M;election_parlement;neuchatel;1969
53;gremaud;armand;M;election_parlement;val-de-ruz;1969
54;sandoz;alain;M;election_parlement;val-de-ruz;1969
55;vuilleumier;raymond;M;election_parlement;val-de-ruz;1969
57;lagger;paul;M;election_parlement;val-de-travers;1969
58;troyon;ginette;F;election_parlement;val-de-travers;1969
61;blaser;frederic;M;election_parlement;le_locle;1969
63;brigadoi;alois;M;election_parlement;le_locle;1969
64;blaser;jean;M;election_parlement;le_locle;1969
70;donze;laurent;M;election_parlement;le_locle;1969
73;emery;michel;M;election_parlement;le_locle;1969
74;leimburger;claude;M;election_parlement;le_locle;1969
83;roulet;charles;M;election_parlement;la_chaux-de-fonds;1969
84;steiger;jean;M;election_parlement;la_chaux-de-fonds;1969
94;broillet;etienne;M;election_parlement;la_chaux-de-fonds;1969
101;roulet;pierre;M;election_parlement;la_chaux-de-fonds;1969
109;blant;rene;M;election_parlement;la_chaux-de-fonds;1969
111;dubois;jean-pierre;M;election_parlement;la_chaux-de-fonds;1969
115;lengacher;henri;M;election_parlement;la_chaux-de-fonds;1969
117;berger;gerard;M;election_parlement;la_chaux-de-fonds;1969
