id;nom;prenom;genre;election;district;candidature
2;corswant;marcelle;F;election_parlement;la_chaux-de-fonds;1973
4;greub;margot;F;election_parlement;la_chaux-de-fonds;1973
8;Eplattenier;lily;F;election_parlement;neuchatel;1973
21;sidler;louis;M;election_parlement;la_chaux-de-fonds;1973
27;hirschi;gerard;M;election_parlement;neuchatel;1973
33;leuba;pierre;M;election_parlement;neuchatel;1973
41;dind;jacques;M;election_parlement;neuchatel;1973
42;eggimann;chantal;M;election_parlement;neuchatel;1973
43;greub;andre;M;election_parlement;neuchatel;1973
61;blaser;frederic;M;election_parlement;le_locle;1973
64;blaser;jean;M;election_parlement;le_locle;1973
75;boss;berthold;M;election_parlement;le_locle;1973
76;huguenin;marianne;F;election_parlement;le_locle;1973
84;steiger;jean;M;election_parlement;la_chaux-de-fonds;1973
94;broillet;etienne;M;election_parlement;la_chaux-de-fonds;1973
101;roulet;pierre;M;election_parlement;la_chaux-de-fonds;1973
109;blant;rene;M;election_parlement;la_chaux-de-fonds;1973
111;dubois;jean-pierre;M;election_parlement;la_chaux-de-fonds;1973
115;lengacher;henri;M;election_parlement;la_chaux-de-fonds;1973
117;berger;gerard;M;election_parlement;la_chaux-de-fonds;1973
118;bringolf;alain;M;election_parlement;la_chaux-de-fonds;1973
119;gutmann;andre;M;election_parlement;la_chaux-de-fonds;1973
120;santschi;walter;M;election_parlement;la_chaux-de-fonds;1973
121;vuilleumier;claudine;F;election_parlement;la_chaux-de-fonds;1973
