id;nom;prenom;genre;election;district;candidature
2;corswant;marcelle;F;election_parlement;la_chaux-de-fonds;1977
8;Eplattenier;lily;F;election_parlement;neuchatel;1977
11;bottani;anna;F;election_parlement;le_locle;1977
27;hirschi;gerard;M;election_parlement;neuchatel;1977
41;dind;jacques;M;election_parlement;neuchatel;1977
44;emery;anne-lise;F;election_parlement;neuchatel;1977
45;girardet;james;M;election_parlement;neuchatel;1977
46;kuhn;joelle;M;election_parlement;neuchatel;1977
47;rollier;daisy;F;election_parlement;neuchatel;1977
48;schukthess;daniel;M;election_parlement;neuchatel;1977
49;gaberelle;jean-michel;M;election_parlement;boudry;1977
50;humbert;fred-alain;M;election_parlement;boudry;1977
51;lenoble;francoise;F;election_parlement;boudry;1977
61;blaser;frederic;M;election_parlement;le_locle;1977
74;leimburger;claude;M;election_parlement;le_locle;1977
75;boss;berthold;M;election_parlement;le_locle;1977
77;blaser;jean-pierre;M;election_parlement;le_locle;1977
79;debieux;charly;M;election_parlement;le_locle;1977
80;guyot;jean;M;election_parlement;le_locle;1977
81;scheurer;thomas;M;election_parlement;le_locle;1977
84;steiger;jean;M;election_parlement;la_chaux-de-fonds;1977
94;broillet;etienne;M;election_parlement;la_chaux-de-fonds;1977
117;berger;gerard;M;election_parlement;la_chaux-de-fonds;1977
118;bringolf;alain;M;election_parlement;la_chaux-de-fonds;1977
122;berger;helene;F;election_parlement;la_chaux-de-fonds;1977
123;berger;pierre;M;election_parlement;la_chaux-de-fonds;1977
124;cerf;michele;F;election_parlement;la_chaux-de-fonds;1977
125;huggler;david;M;election_parlement;la_chaux-de-fonds;1977
126;vuille;nicole;F;election_parlement;la_chaux-de-fonds;1977
289;papetti;chantal;F;election_parlement;boudry;1977
