pk_type_M;definition;sources
1;santé;
2;droit;
3;usine;
4;domestique;
5;enseignement;
6;universite;
7;cuisine;
8;agriculture;
9;service_publique;
10;conduite;
11;artisanat;
12;architecture;
13;vente;
14;impression;
15;journalisme;
16;secretariat;
17;batiment;
18;finance;
19;jardinier;
20;social;
21;etude;
22;politique;
23;restauration;
24;artistique;
